"Mid","Aid"
"6882","81866"
"9451","88235"
"9451","41314"
"9451","84302"
"9451","81441"
"9722","81441"
"9451","38541"
"9451","82636"
"9451","86905"
"7356","66075"
"9517","66075"
"8986","66075"
"3248","71761"
"2021","71761"
"2075","67326"
"1669","81223"
"8574","81223"
"5721","98844"
"1846","98844"
"5130","98844"
"2196","98844"
"8431","98844"
"5130","55954"
"7832","71454"
"9527","71454"
"3687","71454"
"1746","75054"
"4629","75054"
"7970","65808"
"6643","65808"
"7600","65808"
"7776","65808"
"1632","65808"
"3536","65808"
"1846","65808"
"7938","65808"
"9767","65808"
"9609","65808"
"1764","65808"
"9891","93308"
"2202","93308"
"3169","93308"
"8324","93308"
"6826","42151"
"7380","42151"
"3076","42151"
"9814","42151"
"8110","74496"
"4981","99822"
"4584","99822"
"9902","96950"
"4423","64660"
"8073","47614"
"5564","47614"
"4223","47614"
"8180","47614"
"5858","47614"
"4717","47614"
"5925","47614"
"9603","83201"
"6557","83201"
"9874","83201"
"6057","56349"
"5151","56349"
"8292","56349"
"3500","56349"
"9064","56349"
"7803","56349"
"5588","56349"
"9223","56349"
"3207","56349"
"4638","56349"
"7543","56349"
"9739","56349"
"4072","80093"
"6978","80093"
"6407","58766"
"6496","59106"
"7226","59106"
"7470","59106"
"4557","59106"
"6681","59106"
"8443","59106"
"2846","59106"
"9058","59106"
"8716","59106"
"8587","59106"
"4071","95754"
"6341","95754"
"8592","95754"
"9286","95754"
"2268","95754"
"1859","95754"
"9228","95754"
"7886","74330"
"7370","74330"
"9932","39088"
"4062","75115"
"4887","55819"
"9636","69729"
"7535","69729"
"9860","69729"
"3199","69729"
"8934","69729"
"1714","69729"
"3196","69729"
"9379","69729"
"8413","69729"
"4118","69729"
"6543","69729"
"5550","69729"
"3111","69729"
"5505","69729"
"7663","72959"
"7535","72959"
"6552","72959"
"7362","72959"
"8036","72959"
"5197","72959"
"9005","72959"
"7535","32064"
"3809","32064"
"7535","45781"
"4144","45781"
"8602","45781"
"7535","25369"
"4212","25369"
"4963","25369"
"7535","91397"
"9477","91397"
"4118","91397"
"7535","50302"
"6056","50302"
"4231","50302"
"9305","50302"
"1891","50302"
"7037","50302"
"8003","50302"
"7417","50302"
"2747","50302"
"5900","22608"
"4569","22608"
"7535","22608"
"3313","22608"
"8348","22608"
"8123","22608"
"8750","22608"
"7535","98147"
"8925","16103"
"9138","16103"
"4905","16103"
"6733","16103"
"9823","16103"
"2055","30021"
"2986","61685"
"4195","61685"
"7613","19326"
"9947","56450"
"2935","56450"
"5502","56450"
"2163","37985"
"8196","37985"
"3338","81349"
"2500","81349"
"4376","79894"
"1823","62659"
"3819","62659"
"5308","62659"
"7352","94924"
"2746","94924"
"4837","94924"
"8825","36526"
"2098","36526"
"5968","79874"
"6581","26413"
"5267","35784"
"9229","35784"
"6293","46825"
"1620","45603"
"9028","45603"
"5189","45603"
"9663","46265"
"3862","33451"
"5711","88283"
"8283","88283"
"2374","88283"
"1959","49970"
"9629","25562"
"7735","84879"
"7271","84879"
"1598","84879"
"9183","84879"
"9482","84879"
"5143","84879"
"7249","84879"
"7735","67818"
"7271","67818"
"1598","67818"
"9183","67818"
"9482","67818"
"5143","67818"
"7249","67818"
"9183","53775"
"8709","53775"
"5143","53775"
"7735","70686"
"7271","70686"
"9183","70686"
"9482","70686"
"5143","70686"
"7249","70686"
"7735","53220"
"7249","53220"
"7271","22833"
"5143","22833"
"3712","15107"
"7030","22855"
"6961","22855"
"2000","44181"
"5981","44181"
"9129","63814"
"4911","58859"
"7192","33506"
"2024","33506"
"2888","33506"
"9303","33506"
"4296","87717"
"2500","75911"
"6347","88763"
"5085","33118"
"3119","33118"
"3363","33118"
"6738","33118"
"2522","33118"
"3512","33118"
"9270","33118"
"2430","33118"
"5095","33118"
"4280","33118"
"3498","33118"
"1956","90478"
"3363","90478"
"5522","90478"
"9889","90478"
"9693","90478"
"7819","69511"
"4628","69511"
"9394","69511"
"9758","69511"
"6852","26347"
"3861","26347"
"7819","26347"
"5721","26347"
"8853","26347"
"8867","93032"
"1956","93032"
"5085","93032"
"3119","93032"
"8428","93032"
"2937","93032"
"9394","93032"
"2522","93032"
"9270","93032"
"2430","93032"
"5095","93032"
"6239","93032"
"4280","93032"
"5085","17859"
"9693","17859"
"9758","19468"
"9758","66643"
"8867","67418"
"2522","67418"
"9758","67418"
"8347","67418"
"9758","78336"
"8347","78336"
"6637","30469"
"4628","12181"
"5787","12181"
"7817","12181"
"6978","87666"
"4124","57274"
"4850","57274"
"8431","57274"
"6517","57274"
"4312","59371"
"9349","59371"
"6708","59371"
"1912","52690"
"5768","41167"
"2994","94239"
"7430","13690"
"1667","72281"
"6427","62301"
"6596","62301"
"8469","58372"
"6343","62138"
"9240","34072"
"4014","34072"
"2143","88759"
"3180","88759"
"8469","88759"
"8720","88759"
"6293","57614"
"7847","33358"
"8403","70331"
"3392","70331"
"4669","67669"
"3770","67669"
"6760","21982"
"2166","99231"
"8799","79430"
"5160","54856"
"3896","54856"
"3613","54856"
"4904","54856"
"6363","54856"
"6105","38209"
"8937","38209"
"3346","96009"
"7546","31475"
"4669","73246"
"2942","77382"
"7666","77382"
"3917","77382"
"5453","66331"
"7772","66331"
"4574","93227"
"5787","32319"
"2166","80649"
"4614","52107"
"8619","74773"
"2660","98945"
"8333","60904"
"2517","36204"
"9088","36204"
"3275","10909"
"6745","10909"
"8819","10909"
"8738","26210"
"4493","28478"
"9314","72274"
"5652","72274"
"7329","33956"
"4928","49883"
"9379","73049"
"6613","73049"
"6222","85806"
"8785","97284"
"6750","30806"
"9859","30806"
"5151","81461"
"2728","81461"
"9569","81461"
"2019","24347"
"2393","24347"
"9306","24347"
"3594","39953"
"3765","21178"
"6351","29967"
"1782","29967"
"5819","14065"
"5986","28699"
"5986","76583"
"8783","20793"
"3346","48475"
"9986","98512"
"9927","98512"
"4880","31372"
"9283","31372"
"9024","46381"
"3023","46381"
"9406","46381"
"8055","46381"
"4496","66110"
"9663","66110"
"3783","66110"
"6021","66110"
"3512","66110"
"8709","95956"
"7249","95956"
"6054","66915"
"9722","66915"
"2934","60860"
"6054","60860"
"4479","60860"
"5753","92053"
"2934","92053"
"8709","92053"
"7249","92053"
"1598","87921"
"9482","87921"
"9865","31690"
"3481","76054"
"2176","94671"
"4012","70806"
"4454","70806"
"6362","70806"
"4085","70806"
"9758","61583"
"9758","59267"
"9758","23445"
"9758","90794"
"8197","15732"
"3498","15732"
"9889","84501"
"9758","56107"
"5522","33969"
"5085","54727"
"3119","54727"
"3118","54727"
"8428","54727"
"2937","54727"
"9394","54727"
"9270","54727"
"2430","54727"
"5095","54727"
"6239","54727"
"4280","54727"
"9758","54727"
"3683","54727"
"8853","48920"
"2376","72855"
"4789","41855"
"1789","41855"
"8999","41855"
"2401","41855"
"2002","41855"
"5264","41855"
"7551","41855"
"8443","41855"
"4379","41855"
"7873","41855"
"1742","41855"
"6772","41855"
"1759","41855"
"8749","41855"
"6833","59649"
"7356","59649"
"2337","59649"
"8391","59649"
"4855","59649"
"3912","59649"
"4785","59649"
"5784","59649"
"6546","59649"
"2339","59649"
"2595","59649"
"9186","59649"
"6980","59649"
"3666","76947"
"4080","76947"
"8881","76947"
"8461","98041"
"2541","98041"
"2846","98041"
"6691","24349"
"9296","24349"
"8972","24349"
"3540","29688"
"4433","29688"
"3517","29688"
"5065","29688"
"3407","29688"
"7688","29688"
"7458","28788"
"8335","85377"
"5115","52347"
"3517","52347"
"1528","90829"
"8226","90829"
"8225","90829"
"1528","66047"
"8226","66047"
"1528","59185"
"7819","59185"
"1528","30514"
"8226","30514"
"8431","30514"
"1528","67595"
"8226","67595"
"1528","59429"
"4629","59429"
"6806","59429"
"1528","82247"
"5130","82247"
"8226","82247"
"1528","22072"
"1528","92295"
"8226","92295"
"1528","89930"
"1746","89930"
"5721","89930"
"5848","89930"
"3441","84384"
"5721","84384"
"3441","38192"
"8738","38192"
"3441","77147"
"7637","77147"
"4319","77147"
