"A_AWid","AYear","AType","Aid"
5714,1975,"Emmy","79555"
5632,1975,"Emmy","88250"
5991,1975,"Emmy","54887"
6603,1975,"Emmy","91583"
5681,1975,"Emmy","15911"
5006,1975,"Emmy","86818"
6388,1974,"Emmy","41570"
6009,1974,"Emmy","32155"
6237,1974,"Emmy","60522"
6485,1974,"Emmy","58189"
5305,1974,"Emmy","14833"
6975,1974,"Emmy","44123"
6929,1974,"Emmy","79555"
6127,1974,"Emmy","87039"
6165,1973,"Emmy","88961"
5403,1973,"Emmy","53759"
6007,1973,"Emmy","79555"
5640,1972,"Emmy","54887"
5740,1972,"Emmy","53759"
6630,1972,"Emmy","24347"
6325,1971,"Emmy","32155"
6594,1971,"Emmy","54887"
6843,1971,"Emmy","53759"
6920,1970,"Emmy","27625"
5110,1970,"Emmy","88563"
5507,1968,"Emmy","96953"
6004,1967,"Emmy","96953"
5583,1967,"Emmy","79868"
6481,1967,"Emmy","80878"
6720,1967,"Emmy","88563"
6148,1966,"Emmy","96953"
6909,1966,"Emmy","74354"
5156,1966,"Emmy","79868"
5975,1965,"Emmy","74354"
6573,1965,"Emmy","19854"
5086,1965,"Emmy","29061"
6458,1965,"Emmy","91436"
5519,1964,"Emmy","74354"
6416,1964,"Emmy","54020"
6097,1963,"Emmy","79868"
5796,1963,"Emmy","24822"
6354,1962,"Emmy","79868"
5554,1962,"Emmy","43241"
6850,1961,"Emmy","79868"
5682,1961,"Emmy","86518"
6137,1961,"Emmy","32808"
6937,1959,"Emmy","70128"
6362,1959,"Emmy","64921"
6144,1959,"Emmy","43241"
5549,1958,"Emmy","22923"
5214,1958,"Emmy","88563"
6672,1957,"Emmy","70128"
6551,1957,"Emmy","22923"
5782,1955,"Emmy","32808"
6545,1955,"Emmy","70128"
5654,1953,"Emmy","50817"
5832,1952,"Emmy","12990"
5396,1951,"Emmy","55844"
